account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats_x,is_trial,churn_flag,total_subscriptions,lifetime_mrr_sum,total_upgrades,total_downgrades,first_start_date,current_plan_tier,seats_y,current_mrr,current_arr,billing_frequency,end_date,tenure_days,total_usage_events,total_errors,distinct_features_used,last_usage_date,days_since_last_usage,total_tickets,avg_satisfaction,escalation_count,latest_churn_reason,churned,revenue_at_risk_arr,recency_score,breadth_score,support_score,satisfaction_score_0_100,health_score,health_tier
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,False,True,19,32571,1,1,2024-09-26,Pro,18,882,10584,annual,,97,101,55,38,2024-12-30,2,3.0,5.0,0.0,support,True,10584,98.85057471264368,100.0,70.0,100.0,93.6,Healthy
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,False,10,43247,1,0,2024-11-09,Basic,59,1121,13452,monthly,,53,55,22,29,2024-11-21,41,2.0,5.0,0.0,never_churned,False,0,54.02298850574713,64.0,80.0,100.0,70.9,Healthy
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,False,12,16242,2,0,2023-04-30,Enterprise,7,0,0,annual,,612,64,30,30,2024-12-30,2,3.0,5.0,1.0,never_churned,False,0,98.85057471264368,68.0,50.0,100.0,81.6,Healthy
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,False,12,23432,1,2,2024-01-16,Pro,30,1470,17640,annual,,351,69,26,34,2024-12-16,16,4.0,4.0,0.0,competitor,False,0,82.75862068965517,84.0,60.0,75.0,77.0,Healthy
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,False,13,29407,0,1,2024-12-01,Enterprise,32,6368,76416,annual,,31,70,49,32,2024-12-24,8,2.0,3.0,0.0,unknown,False,0,91.95402298850574,76.0,80.0,50.0,77.2,Healthy
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,False,8,27746,2,0,2023-09-27,Basic,28,532,6384,annual,,462,54,42,31,2024-12-18,14,2.0,4.0,0.0,competitor,False,0,85.05747126436782,72.0,80.0,75.0,78.8,Healthy
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,False,False,7,13266,0,0,2024-12-09,Pro,15,735,8820,annual,,23,37,13,25,2024-12-27,5,6.0,4.25,1.0,features,False,0,95.40229885057471,48.0,20.0,81.25,65.6,Watch
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,False,6,11858,0,0,2023-08-24,Pro,29,1421,17052,annual,,496,46,19,29,2024-12-31,1,6.0,3.5,0.0,never_churned,False,0,100.0,64.0,40.0,62.5,71.5,Healthy
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,True,9,14646,0,1,2023-04-11,Enterprise,18,3582,42984,monthly,,631,43,18,28,2024-12-11,21,5.0,3.6,0.0,never_churned,True,42984,77.01149425287356,60.0,50.0,65.0,65.0,Watch
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,True,False,8,9299,3,0,2024-01-02,Enterprise,22,4378,52536,annual,,365,49,25,31,2024-12-23,9,3.0,4.0,1.0,pricing,False,0,90.80459770114942,72.0,50.0,75.0,74.8,Healthy
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,False,14,11844,3,1,2024-04-14,Basic,9,0,0,annual,2024-12-26,256,66,44,34,2024-12-08,24,4.0,4.666666666666667,1.0,unknown,False,0,73.5632183908046,84.0,40.0,91.66666666666667,73.1,Healthy
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,False,False,8,5175,1,1,2024-07-28,Basic,8,152,1824,monthly,,157,35,20,24,2024-10-30,63,9.0,4.0,1.0,never_churned,False,0,28.735632183908038,44.0,0.0,75.0,36.1,At Risk
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,False,True,14,36445,2,0,2024-08-23,Enterprise,17,3383,40596,annual,,131,69,37,32,2024-11-24,38,3.0,3.333333333333333,0.0,budget,True,40596,57.4712643678161,76.0,70.0,58.33333333333333,64.8,Watch
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,False,True,8,75938,0,0,2024-05-24,Basic,86,1634,19608,annual,,222,42,22,28,2024-12-22,10,3.0,4.0,0.0,features,True,19608,89.65517241379311,60.0,70.0,75.0,75.4,Healthy
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,False,7,3613,0,1,2024-10-12,Pro,5,0,0,annual,,81,32,20,23,2024-12-19,13,0.0,,0.0,unknown,False,0,86.20689655172414,40.0,100.0,74.10407725321888,75.0,Healthy
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,True,9,10162,2,0,2023-07-18,Enterprise,26,5174,62088,annual,,533,47,19,27,2024-12-25,7,5.0,4.5,0.0,competitor,True,62088,93.10344827586206,56.00000000000001,50.0,87.5,74.1,Healthy
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,False,9,14121,0,1,2023-09-16,Pro,19,931,11172,annual,,473,58,31,30,2024-12-24,8,2.0,,0.0,never_churned,False,0,91.95402298850574,68.0,80.0,74.10407725321888,80.0,Healthy
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,True,16,32433,3,0,2023-06-03,Enterprise,49,9751,117012,monthly,,578,72,37,29,2024-12-29,3,4.0,5.0,0.0,never_churned,True,117012,97.70114942528735,64.0,60.0,100.0,82.2,Healthy
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,False,False,10,42096,0,0,2023-12-26,Basic,26,494,5928,monthly,,372,53,44,27,2024-12-19,13,4.0,4.0,0.0,unknown,False,0,86.20689655172414,56.00000000000001,60.0,75.0,71.2,Healthy
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Basic,20,False,False,7,11069,1,0,2024-01-26,Enterprise,20,3980,47760,monthly,,341,33,12,22,2024-09-23,100,2.0,3.5,0.0,features,False,0,0.0,36.0,80.0,62.5,37.5,At Risk
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,False,10,10236,2,1,2024-10-02,Pro,34,1666,19992,monthly,,91,55,23,29,2024-12-25,7,5.0,4.0,1.0,features,False,0,93.10344827586206,64.0,30.0,75.0,69.6,Watch
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,False,False,7,8216,2,1,2023-08-18,Enterprise,16,3184,38208,monthly,,502,39,30,21,2024-12-24,8,5.0,3.6666666666666665,0.0,never_churned,False,0,91.95402298850574,32.0,50.0,66.66666666666666,63.5,Watch
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,True,11,21821,0,0,2024-07-01,Enterprise,14,2786,33432,monthly,,184,63,32,34,2024-12-30,2,3.0,3.0,0.0,features,True,33432,98.85057471264368,84.0,70.0,50.0,79.6,Healthy
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,False,12,17260,2,0,2023-08-07,Basic,15,285,3420,monthly,,513,64,27,32,2024-12-26,6,6.0,4.0,0.0,features,False,0,94.25287356321839,76.0,40.0,75.0,75.0,Healthy
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,False,False,7,7797,2,0,2023-06-12,Pro,37,1813,21756,monthly,,569,37,11,29,2024-12-24,8,1.0,4.0,0.0,unknown,False,0,91.95402298850574,64.0,90.0,75.0,81.2,Healthy
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,False,False,4,456,0,0,2024-06-17,Enterprise,13,0,0,annual,,198,24,13,16,2024-10-09,84,7.0,4.6,0.0,unknown,False,0,4.597701149425291,12.0,30.0,89.99999999999999,28.6,At Risk
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,False,9,11392,0,0,2023-05-28,Basic,5,95,1140,annual,,584,39,31,27,2024-12-14,18,8.0,4.25,1.0,never_churned,False,0,80.45977011494253,56.00000000000001,0.0,81.25,58.4,Watch
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Enterprise,3,False,False,12,20131,2,1,2024-07-12,Basic,66,0,0,annual,,173,71,53,35,2024-12-25,7,4.0,4.0,0.0,pricing,False,0,93.10344827586206,88.0,60.0,75.0,81.6,Healthy
A-854864,Company_38,FinTech,IN,2024-12-07,event,Enterprise,20,False,False,6,14759,0,0,2024-12-09,Pro,20,980,11760,annual,,23,24,10,17,2024-12-15,17,5.0,4.8,0.0,support,False,0,81.60919540229885,16.0,50.0,95.0,61.6,Watch
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,False,False,11,8771,0,1,2024-10-28,Pro,41,2009,24108,monthly,,65,62,33,33,2024-12-20,12,5.0,4.0,0.0,never_churned,False,0,87.35632183908046,80.0,50.0,75.0,75.6,Healthy
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,False,12,51109,2,0,2023-06-11,Pro,58,2842,34104,annual,,570,67,46,32,2024-12-30,2,4.0,4.0,0.0,features,False,0,98.85057471264368,76.0,60.0,75.0,80.6,Healthy
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2,False,False,7,3565,3,0,2024-08-26,Enterprise,2,398,4776,annual,,128,46,31,26,2024-11-18,44,3.0,4.333333333333333,0.0,never_churned,False,0,50.57471264367816,52.0,70.0,83.33333333333333,61.4,Watch
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,15,39516,2,0,2023-03-27,Enterprise,34,6766,81192,monthly,,646,77,38,34,2024-12-21,11,1.0,3.0,0.0,never_churned,True,81192,88.50574712643679,84.0,90.0,50.0,80.0,Healthy
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,False,False,13,32394,4,0,2023-07-19,Pro,35,1715,20580,monthly,,532,67,31,33,2024-12-07,25,2.0,4.5,0.0,competitor,False,0,72.41379310344828,80.0,80.0,87.5,78.8,Healthy
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Enterprise,2,False,False,13,19465,1,0,2024-08-01,Basic,30,570,6840,monthly,,153,66,36,28,2024-12-31,1,3.0,3.5,0.0,unknown,False,0,100.0,60.0,70.0,62.5,76.5,Healthy
A-2d4502,Company_45,FinTech,IN,2024-04-29,event,Basic,7,False,False,10,29071,2,0,2024-04-30,Enterprise,34,6766,81192,annual,,246,47,19,29,2024-12-07,25,3.0,5.0,0.0,pricing,False,0,72.41379310344828,64.0,70.0,100.0,75.3,Healthy
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Pro,9,False,False,11,10394,2,1,2023-05-29,Pro,14,686,8232,annual,2024-11-07,528,59,31,27,2024-12-24,8,2.0,4.5,1.0,budget,False,0,91.95402298850574,56.00000000000001,60.0,87.5,75.7,Healthy
A-eb7c38,Company_47,DevTools,AU,2024-02-25,organic,Enterprise,5,False,False,15,38210,3,1,2024-04-11,Basic,33,627,7524,annual,,265,70,27,33,2024-12-15,17,5.0,4.333333333333333,0.0,budget,False,0,81.60919540229885,80.0,50.0,83.33333333333333,75.2,Healthy
A-c37601,Company_48,EdTech,US,2024-10-31,partner,Basic,6,True,False,12,20475,0,0,2024-11-01,Enterprise,54,10746,128952,monthly,,61,48,21,28,2024-12-07,25,4.0,3.6666666666666665,0.0,support,False,0,72.41379310344828,60.0,60.0,66.66666666666666,65.7,Watch
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Basic,13,True,False,13,23676,2,1,2023-09-30,Enterprise,32,6368,76416,annual,,459,52,24,27,2024-12-21,11,5.0,4.0,0.0,unknown,False,0,88.50574712643679,56.00000000000001,50.0,75.0,70.0,Watch
A-b2225d,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,12,19088,1,1,2024-04-02,Basic,47,893,10716,annual,,274,73,60,34,2024-12-08,24,2.0,3.0,0.0,budget,True,10716,73.5632183908046,84.0,80.0,50.0,72.7,Healthy
A-94f8c9,Company_51,HealthTech,US,2024-03-29,other,Basic,13,False,False,16,31989,2,1,2024-04-05,Enterprise,13,2587,31044,monthly,,271,77,63,33,2024-12-03,29,3.0,5.0,0.0,budget,False,0,67.816091954023,80.0,70.0,100.0,77.7,Healthy
A-02fac6,Company_52,FinTech,US,2023-04-06,event,Pro,22,False,False,11,26410,1,0,2023-10-21,Pro,22,1078,12936,monthly,,438,53,34,32,2024-12-27,5,6.0,4.0,0.0,support,False,0,95.40229885057471,76.0,40.0,75.0,75.4,Healthy
A-c1dfe1,Company_53,DevTools,DE,2023-08-07,ads,Pro,26,False,False,8,25790,1,2,2023-10-26,Basic,26,494,5928,monthly,,433,39,30,24,2024-12-23,9,3.0,4.0,0.0,features,False,0,90.80459770114942,44.0,70.0,75.0,71.8,Healthy
A-32728c,Company_54,DevTools,US,2023-01-03,event,Pro,20,False,True,8,4498,1,0,2023-04-04,Basic,42,798,9576,annual,,638,41,22,26,2024-12-14,18,2.0,3.5,0.0,budget,True,9576,80.45977011494253,52.0,80.0,62.5,69.7,Watch
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Basic,36,False,True,16,48060,2,0,2024-03-17,Pro,36,1764,21168,annual,2024-12-28,286,81,27,37,2024-12-29,3,3.0,3.5,0.0,never_churned,True,21168,97.70114942528735,96.0,70.0,62.5,84.7,Healthy
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,organic,Enterprise,1,False,False,8,9332,1,0,2023-11-14,Basic,2,0,0,annual,,414,38,12,27,2024-12-13,19,3.0,,0.0,competitor,False,0,79.3103448275862,56.00000000000001,70.0,74.10407725321888,70.6,Healthy
A-6f8ad2,Company_57,EdTech,IN,2024-07-09,organic,Basic,1,False,False,17,25928,2,1,2024-07-22,Basic,41,779,9348,annual,,163,88,59,38,2024-12-31,1,4.0,4.333333333333333,0.0,never_churned,False,0,100.0,100.0,60.0,83.33333333333333,88.7,Healthy
A-4d1e75,Company_58,DevTools,US,2024-08-21,other,Basic,20,False,False,13,31390,3,1,2024-09-07,Basic,20,380,4560,monthly,,116,51,25,28,2024-12-15,17,2.0,4.0,0.0,budget,False,0,81.60919540229885,60.0,80.0,75.0,74.6,Healthy
A-9ee962,Company_59,HealthTech,US,2023-02-28,ads,Basic,9,False,True,9,9420,3,1,2023-06-23,Basic,9,171,2052,annual,,558,39,17,25,2024-12-25,7,3.0,4.0,0.0,support,True,2052,93.10344827586206,48.0,70.0,75.0,73.6,Healthy
A-378b99,Company_60,EdTech,UK,2024-09-01,ads,Pro,8,True,False,12,12116,1,1,2024-09-10,Pro,16,784,9408,annual,,113,58,38,33,2024-12-31,1,6.0,4.5,0.0,pricing,False,0,100.0,80.0,40.0,87.5,80.5,Healthy
A-94d3da,Company_61,HealthTech,US,2023-05-03,other,Basic,41,False,False,12,22673,1,0,2023-06-03,Basic,41,779,9348,monthly,,578,48,25,29,2024-12-19,13,6.0,3.5,0.0,competitor,False,0,86.20689655172414,64.0,40.0,62.5,66.7,Watch
A-e351e1,Company_62,EdTech,US,2024-09-26,other,Enterprise,33,False,False,5,3498,0,0,2024-09-27,Basic,33,627,7524,annual,2024-12-29,93,29,22,18,2024-12-14,18,4.0,3.75,0.0,support,False,0,80.45977011494253,20.0,60.0,68.75,58.9,Watch
A-9badbd,Company_63,Cybersecurity,DE,2024-06-19,ads,Enterprise,5,True,False,13,32477,0,0,2024-06-29,Enterprise,59,11741,140892,monthly,2024-12-30,184,70,45,33,2024-12-25,7,5.0,5.0,0.0,never_churned,False,0,93.10344827586206,80.0,50.0,100.0,82.6,Healthy
A-7e0a10,Company_64,FinTech,US,2023-11-18,ads,Enterprise,46,False,False,10,41116,1,0,2023-11-29,Enterprise,70,13930,167160,annual,,399,50,35,34,2024-12-14,18,5.0,4.0,0.0,budget,False,0,80.45977011494253,84.0,50.0,75.0,74.2,Healthy
A-118d55,Company_65,Cybersecurity,US,2024-10-22,organic,Basic,8,False,False,12,23919,3,4,2024-10-26,Enterprise,29,5771,69252,monthly,2024-12-31,66,60,33,29,2024-12-30,2,5.0,4.333333333333333,0.0,pricing,False,0,98.85057471264368,64.0,50.0,83.33333333333333,77.3,Healthy
A-526d93,Company_66,HealthTech,FR,2024-04-14,organic,Basic,43,False,False,9,39201,2,0,2024-04-19,Enterprise,43,8557,102684,annual,2024-11-10,205,56,45,28,2024-12-22,10,5.0,3.5,1.0,support,False,0,89.65517241379311,60.0,30.0,62.5,64.9,Watch
A-f92792,Company_67,FinTech,US,2024-07-04,ads,Pro,1,False,False,14,18807,1,1,2024-07-07,Basic,19,361,4332,annual,,178,53,31,32,2024-12-27,5,2.0,4.0,0.0,features,False,0,95.40229885057471,76.0,80.0,75.0,83.4,Healthy
A-84ebe4,Company_68,FinTech,US,2023-03-12,ads,Pro,18,True,True,11,27994,0,0,2023-05-10,Enterprise,36,7164,85968,monthly,,602,42,26,27,2024-12-16,16,4.0,4.0,0.0,support,True,85968,82.75862068965517,56.00000000000001,60.0,75.0,70.0,Watch
A-5b4ebb,Company_69,Cybersecurity,UK,2024-07-10,other,Basic,21,True,True,13,27803,1,0,2024-07-11,Pro,30,1470,17640,annual,,174,70,25,34,2024-12-25,7,5.0,4.75,0.0,never_churned,True,17640,93.10344827586206,84.0,50.0,93.75,82.3,Healthy
A-2922b6,Company_70,HealthTech,US,2024-11-14,organic,Basic,15,False,False,6,10669,1,0,2024-12-05,Pro,20,980,11760,annual,,27,37,13,27,2024-12-18,14,2.0,4.0,0.0,competitor,False,0,85.05747126436782,56.00000000000001,80.0,75.0,74.8,Healthy
A-9b9fe9,Company_71,EdTech,AU,2023-09-28,other,Basic,5,False,False,12,19725,0,1,2023-10-16,Enterprise,50,9950,119400,monthly,,443,58,22,30,2024-12-15,17,4.0,4.0,0.0,features,False,0,81.60919540229885,68.0,60.0,75.0,72.6,Healthy
A-a8b49c,Company_72,Cybersecurity,UK,2023-10-06,partner,Basic,7,False,False,12,11567,1,0,2023-10-14,Pro,7,343,4116,annual,,445,54,43,27,2024-12-25,7,1.0,4.0,0.0,features,False,0,93.10344827586206,56.00000000000001,90.0,75.0,79.6,Healthy
A-9174e0,Company_73,Cybersecurity,US,2024-12-04,partner,Basic,37,False,False,15,53976,2,0,2024-12-06,Enterprise,37,7363,88356,annual,,26,69,61,34,2024-12-29,3,2.0,5.0,0.0,never_churned,False,0,97.70114942528735,84.0,80.0,100.0,91.2,Healthy
A-a1bbb6,Company_74,DevTools,CA,2023-04-05,organic,Basic,1,False,False,8,14402,0,0,2023-04-17,Pro,15,0,0,annual,,625,37,20,23,2024-12-30,2,3.0,4.0,0.0,never_churned,False,0,98.85057471264368,40.0,70.0,75.0,73.6,Healthy
A-c45b23,Company_75,FinTech,UK,2023-12-08,partner,Basic,5,False,False,12,8504,0,0,2023-12-29,Enterprise,26,5174,62088,annual,2024-12-15,352,59,30,32,2024-12-23,9,3.0,3.0,0.0,support,False,0,90.80459770114942,76.0,70.0,50.0,74.8,Healthy
A-02cd81,Company_76,HealthTech,IN,2024-03-28,other,Basic,44,False,False,14,32956,0,0,2024-03-28,Pro,44,2156,25872,annual,,279,72,28,31,2024-12-26,6,3.0,4.5,1.0,pricing,False,0,94.25287356321839,72.0,50.0,87.5,78.5,Healthy
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13,False,False,12,11567,1,1,2023-05-01,Basic,30,570,6840,monthly,,611,54,33,31,2024-12-26,6,4.0,3.0,0.0,unknown,False,0,94.25287356321839,72.0,60.0,50.0,73.0,Healthy
A-432483,Company_78,Cybersecurity,US,2023-02-06,ads,Pro,4,False,False,9,25813,1,0,2023-04-02,Pro,31,1519,18228,annual,,640,45,28,25,2024-12-12,20,1.0,,0.0,never_churned,False,0,78.16091954022988,48.0,90.0,74.10407725321888,72.2,Healthy
A-9208f0,Company_79,EdTech,US,2023-05-11,organic,Pro,1,False,True,8,3511,1,0,2023-05-15,Basic,17,0,0,annual,,597,53,31,29,2024-12-11,21,8.0,3.333333333333333,1.0,features,True,0,77.01149425287356,64.0,0.0,58.33333333333333,54.6,Watch
A-98a59a,Company_80,FinTech,UK,2023-08-04,partner,Enterprise,56,False,False,10,36456,2,1,2023-09-02,Pro,56,2744,32928,annual,,487,44,21,27,2024-12-31,1,3.0,4.5,0.0,support,False,0,100.0,56.00000000000001,70.0,87.5,80.5,Healthy
A-fe79a5,Company_81,HealthTech,IN,2024-02-21,ads,Basic,9,True,False,10,13532,2,0,2024-03-02,Enterprise,9,1791,21492,annual,,305,33,17,22,2024-12-08,24,4.0,5.0,0.0,never_churned,False,0,73.5632183908046,36.0,60.0,100.0,66.7,Watch
A-726cfa,Company_82,DevTools,US,2023-07-01,partner,Pro,11,False,False,19,34782,2,0,2023-07-15,Enterprise,38,7562,90744,monthly,,536,98,45,40,2024-12-26,6,3.0,4.0,0.0,support,False,0,94.25287356321839,100.0,70.0,75.0,87.0,Healthy
A-c43359,Company_83,FinTech,US,2024-11-16,organic,Pro,38,False,False,8,12312,2,1,2024-11-18,Basic,38,722,8664,monthly,,44,47,32,28,2024-12-29,3,3.0,4.0,0.0,support,False,0,97.70114942528735,60.0,70.0,75.0,78.2,Healthy
A-271f46,Company_84,DevTools,US,2023-02-09,event,Pro,38,False,True,8,19604,0,0,2023-03-29,Enterprise,46,9154,109848,monthly,,644,38,16,25,2024-12-20,12,1.0,,0.0,features,True,109848,87.35632183908046,48.0,90.0,74.10407725321888,75.4,Healthy
A-157070,Company_85,FinTech,US,2023-11-09,ads,Pro,16,False,False,16,27506,2,1,2023-12-12,Basic,38,722,8664,annual,2024-12-26,380,71,26,37,2024-12-28,4,3.0,3.0,1.0,features,False,0,96.55172413793103,96.0,50.0,50.0,77.8,Healthy
A-40a557,Company_86,Cybersecurity,AU,2023-12-03,partner,Pro,16,True,False,9,23324,1,0,2024-01-11,Enterprise,16,3184,38208,monthly,,356,39,17,25,2024-12-26,6,7.0,3.6666666666666665,0.0,budget,False,0,94.25287356321839,48.0,30.0,66.66666666666666,64.3,Watch
A-66224b,Company_87,HealthTech,US,2024-10-18,other,Pro,92,True,False,12,69184,0,0,2024-10-20,Enterprise,92,0,0,annual,,73,61,29,34,2024-12-04,28,6.0,3.5,0.0,never_churned,False,0,68.9655172413793,84.0,40.0,62.5,65.6,Watch
A-91e948,Company_88,EdTech,AU,2023-01-29,partner,Basic,41,False,False,7,21894,2,0,2023-08-14,Enterprise,41,8159,97908,monthly,,506,40,16,23,2024-12-26,6,0.0,,0.0,never_churned,False,0,94.25287356321839,40.0,100.0,74.10407725321888,77.8,Healthy
A-104f1a,Company_89,Cybersecurity,US,2024-08-17,other,Pro,24,False,False,8,12617,0,0,2024-09-02,Basic,34,646,7752,monthly,,121,44,22,28,2024-12-15,17,5.0,3.75,1.0,unknown,False,0,81.60919540229885,60.0,30.0,68.75,63.3,Watch
A-7988d1,Company_90,Cybersecurity,US,2023-12-20,other,Basic,33,False,False,9,10692,0,0,2024-03-12,Basic,33,0,0,monthly,,295,46,28,31,2024-12-23,9,3.0,4.333333333333333,0.0,unknown,False,0,90.80459770114942,72.0,70.0,83.33333333333333,80.4,Healthy
A-faa28c,Company_91,HealthTech,US,2024-01-30,organic,Enterprise,48,False,False,14,58404,3,0,2024-02-05,Pro,48,2352,28224,monthly,,331,59,24,25,2024-12-28,4,4.0,4.666666666666667,1.0,features,False,0,96.55172413793103,48.0,40.0,91.66666666666667,72.1,Healthy
A-f25509,Company_92,EdTech,US,2024-03-22,other,Enterprise,32,False,False,5,16122,0,1,2024-05-28,Basic,57,1083,12996,annual,,218,23,15,17,2024-12-28,4,6.0,4.666666666666667,0.0,features,False,0,96.55172413793103,16.0,40.0,91.66666666666667,64.1,Watch
A-3a7284,Company_93,FinTech,US,2024-11-17,organic,Enterprise,31,False,False,12,35519,1,2,2024-11-28,Pro,31,1519,18228,annual,,34,60,30,33,2024-12-22,10,3.0,3.5,0.0,unknown,False,0,89.65517241379311,80.0,70.0,62.5,77.9,Healthy
A-3a5ad8,Company_94,HealthTech,US,2023-12-05,organic,Enterprise,9,True,False,13,28701,1,1,2023-12-18,Enterprise,22,0,0,annual,,380,52,23,27,2024-12-15,17,4.0,4.5,0.0,never_churned,False,0,81.60919540229885,56.00000000000001,60.0,87.5,72.1,Healthy
